district,mandal,month,year,NDVI_mean,rainfall_mm_per_day,temperature_C,batch_id
Jagtial,Pegadapalli,12.0,2024,0.2193,0.1927,0.00,batch_0
Jagtial,Raikal,12.0,2024,0.2796,0.1822,0.00,batch_0
Jagtial,Sarangapur,12.0,2024,0.2648,0.1244,0.00,batch_0
Jagtial,Velgatur,12.0,2024,0.1683,0.1873,0.00,batch_0
Jagtial,Endapalli,12.0,2024,0.2342,0.1973,0.00,batch_0
Jagtial,Medipalle,12.0,2024,0.2497,0.1941,0.00,batch_0
Jayashankar Bhupalpally,Bhupalpally,10.0,2024,0.4395,1.8169,0.00,batch_0
Jayashankar Bhupalpally,Chityal,10.0,2024,0.4267,1.5772,0.00,batch_0
Jayashankar Bhupalpally,Ghanapur_Mulug,10.0,2024,0.3744,1.8410,0.00,batch_0
Jayashankar Bhupalpally,Kataram,10.0,2024,0.3670,1.5925,0.00,batch_0
Jayashankar Bhupalpally,Mahadevpur,10.0,2024,0.2641,1.3228,0.00,batch_0
Jayashankar Bhupalpally,Malharrao,10.0,2024,0.4088,1.7430,0.00,batch_0
Jayashankar Bhupalpally,Mogullapally,10.0,2024,0.4352,1.5632,0.00,batch_0
Jayashankar Bhupalpally,MahaMutharam,10.0,2024,0.2746,1.7766,0.00,batch_0
Jayashankar Bhupalpally,Palimela,10.0,2024,0.0199,1.6795,0.00,batch_0
Jayashankar Bhupalpally,Regonda,10.0,2024,0.4078,1.6651,0.00,batch_0
Jayashankar Bhupalpally,Tekumatla,10.0,2024,0.4151,1.7022,0.00,batch_0
Jayashankar Bhupalpally,Kothapallygori,10.0,2024,0.4229,1.8121,0.00,batch_0
Jayashankar Bhupalpally,Bhupalpally,12.0,2024,0.3203,0.2771,0.00,batch_0
Jayashankar Bhupalpally,Chityal,12.0,2024,0.2920,0.2632,0.00,batch_0
Jayashankar Bhupalpally,Ghanapur_Mulug,12.0,2024,0.2312,0.2358,0.00,batch_0
Jayashankar Bhupalpally,Kataram,12.0,2024,0.3086,0.2148,0.00,batch_0
Jayashankar Bhupalpally,Mahadevpur,12.0,2024,0.3059,0.1990,0.00,batch_0
Jayashankar Bhupalpally,Malharrao,12.0,2024,0.2902,0.2593,0.00,batch_0
Jayashankar Bhupalpally,Mogullapally,12.0,2024,0.2536,0.3357,0.00,batch_0
Jayashankar Bhupalpally,MahaMutharam,12.0,2024,0.3583,0.3051,0.00,batch_0
Jayashankar Bhupalpally,Palimela,12.0,2024,0.3362,0.2404,0.00,batch_0
Jayashankar Bhupalpally,Regonda,12.0,2024,0.3166,0.2898,0.00,batch_0
Jayashankar Bhupalpally,Tekumatla,12.0,2024,0.2500,0.3030,0.00,batch_0
Jayashankar Bhupalpally,Kothapallygori,12.0,2024,0.2730,0.2783,0.00,batch_0
Jogulamba Gadwal,Aiza,10.0,2024,0.3876,4.2159,0.00,batch_0
