district,mandal,month,year,NDVI_mean,rainfall_mm_per_day,temperature_C,batch_id
Vikarabad,Dharoor,12.0,2024,0.2933,0.1503,0.00,batch_24
Vikarabad,Doma,12.0,2024,0.2555,0.1130,0.00,batch_24
Vikarabad,Doulthabad,12.0,2024,0.2872,0.0480,0.00,batch_24
Vikarabad,Kodangal,12.0,2024,0.2996,0.0862,0.00,batch_24
Vikarabad,Kotepally,12.0,2024,0.3129,0.1857,0.00,batch_24
Vikarabad,Kulkacharla,12.0,2024,0.2708,0.1843,0.00,batch_24
Vikarabad,Marpalle,12.0,2024,0.2865,0.1865,0.00,batch_24
Vikarabad,Mominpet,12.0,2024,0.2433,0.1994,0.00,batch_24
Vikarabad,Nawabpet,12.0,2024,0.2765,0.2129,0.00,batch_24
Vikarabad,Pargi,12.0,2024,0.2548,0.0967,0.00,batch_24
Vikarabad,Peddemul,12.0,2024,0.2966,0.1378,0.00,batch_24
Vikarabad,Pudur,12.0,2024,0.2851,0.2032,0.00,batch_24
Vikarabad,Tandur,12.0,2024,0.2848,0.1483,0.00,batch_24
Vikarabad,Vikarabad,12.0,2024,0.2645,0.1769,0.00,batch_24
Vikarabad,Yelal,12.0,2024,0.2766,0.0930,0.00,batch_24
Vikarabad,Chowdapur,12.0,2024,0.2707,0.2079,0.00,batch_24
Vikarabad,Dudyal,12.0,2024,0.2757,0.1401,0.00,batch_24
Wanaparthy,Amarchintha,10.0,2024,0.3806,3.6451,0.00,batch_24
Wanaparthy,Atmakur,10.0,2024,0.4082,3.9478,0.00,batch_24
Wanaparthy,Chinnambavi,10.0,2024,0.2248,4.6965,0.00,batch_24
Wanaparthy,Ghanpur,10.0,2024,0.4068,2.8385,0.00,batch_24
Wanaparthy,Gopalpet,10.0,2024,0.4495,3.8719,0.00,batch_24
Wanaparthy,Kothakota,10.0,2024,0.3894,3.9073,0.00,batch_24
Wanaparthy,Madanapur,10.0,2024,0.3955,3.7643,0.00,batch_24
Wanaparthy,Pangal,10.0,2024,0.4426,4.4567,0.00,batch_24
Wanaparthy,Pebbair,10.0,2024,0.3412,4.3644,0.00,batch_24
Wanaparthy,Peddamandaddi,10.0,2024,0.3907,3.4528,0.00,batch_24
Wanaparthy,Revally,10.0,2024,0.3819,4.2625,0.00,batch_24
Wanaparthy,Srirangapur,10.0,2024,0.3909,4.4556,0.00,batch_24
Wanaparthy,Wanaparthy,10.0,2024,0.3948,4.0928,0.00,batch_24
Wanaparthy,Weepangandla,10.0,2024,0.4089,4.6439,0.00,batch_24
Wanaparthy,Yedula,10.0,2024,0.3927,4.3880,0.00,batch_24
Wanaparthy,Amarchintha,12.0,2024,0.2200,0.1392,0.00,batch_24
Wanaparthy,Atmakur,12.0,2024,0.2074,0.1707,0.00,batch_24
Wanaparthy,Chinnambavi,12.0,2024,0.1890,0.1293,0.00,batch_24
Wanaparthy,Ghanpur,12.0,2024,0.1242,0.1252,0.00,batch_24
Wanaparthy,Gopalpet,12.0,2024,0.1726,0.1560,0.00,batch_24
Wanaparthy,Kothakota,12.0,2024,0.1546,0.1731,0.00,batch_24
Wanaparthy,Madanapur,12.0,2024,0.1287,0.1045,0.00,batch_24
Wanaparthy,Pangal,12.0,2024,0.2105,0.1239,0.00,batch_24
Wanaparthy,Pebbair,12.0,2024,0.2107,0.1784,0.00,batch_24
Wanaparthy,Peddamandaddi,12.0,2024,0.1396,0.1386,0.00,batch_24
Wanaparthy,Revally,12.0,2024,0.2092,0.1402,0.00,batch_24
Wanaparthy,Srirangapur,12.0,2024,0.1746,0.1695,0.00,batch_24
Wanaparthy,Wanaparthy,12.0,2024,0.1896,0.1378,0.00,batch_24
Wanaparthy,Weepangandla,12.0,2024,0.2121,0.1452,0.00,batch_24
Wanaparthy,Yedula,12.0,2024,0.2303,0.1179,0.00,batch_24
Warangal,Chennaraopet,10.0,2024,0.4162,2.0583,0.00,batch_24
Warangal,Duggondi,10.0,2024,0.4008,1.7687,0.00,batch_24
Warangal,Geesugonda,10.0,2024,0.4168,1.8757,0.00,batch_24
Warangal,Khanapur,10.0,2024,0.4550,2.0277,0.00,batch_24
Warangal,Khila Warangal,10.0,2024,0.3560,1.8615,0.00,batch_24
Warangal,Nallabelli,10.0,2024,0.3715,1.5846,0.00,batch_24
Warangal,Narsampet,10.0,2024,0.3847,1.9050,0.00,batch_24
Warangal,Nekkonda,10.0,2024,0.4221,2.1641,0.00,batch_24
Warangal,Parvathagiri,10.0,2024,0.4041,2.2666,0.00,batch_24
Warangal,Raiparthy,10.0,2024,0.4042,2.2765,0.00,batch_24
Warangal,Sangem,10.0,2024,0.3752,1.9044,0.00,batch_24
Warangal,Warangal,10.0,2024,0.3451,1.8321,0.00,batch_24
Warangal,Wardhannapet,10.0,2024,0.4036,2.0747,0.00,batch_24
Warangal,Chennaraopet,12.0,2024,0.3011,0.1806,0.00,batch_24
Warangal,Duggondi,12.0,2024,0.3181,0.2522,0.00,batch_24
Warangal,Geesugonda,12.0,2024,0.2649,0.2481,0.00,batch_24
Warangal,Khanapur,12.0,2024,0.2670,0.1822,0.00,batch_24
Warangal,Khila Warangal,12.0,2024,0.2485,0.2437,0.00,batch_24
Warangal,Nallabelli,12.0,2024,0.3067,0.2297,0.00,batch_24
Warangal,Narsampet,12.0,2024,0.2752,0.1941,0.00,batch_24
Warangal,Nekkonda,12.0,2024,0.2682,0.1419,0.00,batch_24
Warangal,Parvathagiri,12.0,2024,0.2254,0.1611,0.00,batch_24
Warangal,Raiparthy,12.0,2024,0.2006,0.0574,0.00,batch_24
Warangal,Sangem,12.0,2024,0.2634,0.2069,0.00,batch_24
Warangal,Warangal,12.0,2024,0.2288,0.2423,0.00,batch_24
Warangal,Wardhannapet,12.0,2024,0.2260,0.1661,0.00,batch_24
Yadadri Bhuvanagiri,Addagudur,10.0,2024,0.4152,1.9542,0.00,batch_24
Yadadri Bhuvanagiri,Alair,10.0,2024,0.3714,1.8287,0.00,batch_24
Yadadri Bhuvanagiri,Athmakur (M),10.0,2024,0.3343,1.9762,0.00,batch_24
Yadadri Bhuvanagiri,B.Pochampally,10.0,2024,0.2752,2.1981,0.00,batch_24
Yadadri Bhuvanagiri,Bhongiri,10.0,2024,0.3601,2.0314,0.00,batch_24
Yadadri Bhuvanagiri,Bibinagar,10.0,2024,0.3423,2.2320,0.00,batch_24
Yadadri Bhuvanagiri,Bommalaramaram,10.0,2024,0.3838,2.0743,0.00,batch_24
Yadadri Bhuvanagiri,Choutuppal,10.0,2024,0.3611,1.9591,0.00,batch_24
Yadadri Bhuvanagiri,Gundala,10.0,2024,0.3386,1.7690,0.00,batch_24
Yadadri Bhuvanagiri,Motakondur,10.0,2024,0.3906,1.8865,0.00,batch_24
Yadadri Bhuvanagiri,Mothkur,10.0,2024,0.3081,1.9948,0.00,batch_24
Yadadri Bhuvanagiri,Narayanapoor,10.0,2024,0.3809,2.3440,0.00,batch_24
Yadadri Bhuvanagiri,Rajapeta,10.0,2024,0.3715,1.7897,0.00,batch_24
Yadadri Bhuvanagiri,Ramannapet,10.0,2024,0.3385,2.0818,0.00,batch_24
Yadadri Bhuvanagiri,Turkapalle_M,10.0,2024,0.3821,1.9276,0.00,batch_24
